,Next,Standard,294,Virtual,1,Total Errors,1,,,Manca l'ASIN,Inviato ad Amazon,,Inviato all'assistenza,,,,,
,box,Temporary,16,,,,,,,Manca lo SKU,In waiting,,Scartato,#REF!,,,,
,Box,Box Type,Picked,Shipped,LPN,Brand,Additional Info,Other Info,Product Description,Destination,Verification Request,State (Amz),Reason (Amz),Customer Notes,ASIN,SKU,FNSKU,Notes
,292,Standard,05/07/2024,,LPNHK245729750,Orno,Missing components,,"ORNO OR-ZS-853 Elektronisches Türschloss mit Touch-Tastatur und Smart-Funktion - Fingerabdruckleser, Bluetooth 4.0 (Schwarz)",Dispose,,CUSTOMER_DAMAGED,NO_REASON_GIVEN,,B09J596FCV,5908254819001,B09J596FCV,
,228,Standard,05/07/2024,25/09/2024,LPNHK223029118,Abc Design,Missing packaging,,ABC Design Adapter Limbo - ABC Design Tulip/Maxi-Cosi/Cybex Adapter für Babyschalen & Autositz - passend für City-Kinderwagen Limbo - Farbe: black,Dispose,,CUSTOMER_DAMAGED,NO_REASON_GIVEN,,B08BG3QLLP,25-LJL5-YWWU,X001NLFTRH,
,228,Standard,05/07/2024,26/09/2024,LPNA049977877,Arizer,Signs of usage,,Arizer Solo 2 (nero),Dispose,,DEFECTIVE,QUALITY_UNACCEPTABLE,non sono soddisfatto della qualità del vapore,B071GRQBQR,PU-M1M4-GA85,X001W891UH,
,7,Virtual,05/07/2024,,LPNHK255126230,Arizer,Signs of usage,X,"Arizer XQ2 Tisch-Vaporizer, Schwarz",Dispose,,CUSTOMER_DAMAGED,DAMAGED_BY_CARRIER,,B09NRT4QYY,SC-NOBC-70KG,X001W97A8B,
,228,Standard,05/07/2024,26/09/2024,LPNHK112039907,Didiesse,Damaged product,,"Didiesse Multicolore Frog Collection Kaffeepad-Maschine, 650, Aluminium, Couleur",Dispose,,CUSTOMER_DAMAGED,NO_REASON_GIVEN,,B07B38K95Q,CH-WN3P-8SIT,X001XCY89L,
,2,Virtual,05/07/2024,,Lpna032054087,Kerbl,Damaged product,,"Kerbl 18192 Tosatrice, Farm Clipper 4, 200 W, 31/15 Z, bovino/Cavallo",Dispose,,DEFECTIVE,DEFECTIVE,,B01BBK2Y24,SF-ZDHT-6L4E,X001GZTVXX,
,4,Virtual,05/07/2024,26/09/2024,LPNA031422404,Didiesse,Missing packaging,COLORE??????????,Didieese Frog Base Revolution,Dispose,,-,-,-,-,-,-,
,228,Standard,05/07/2024,25/09/2024,LPNRP007463425,Tielle,Damaged packaging,,"Sporlastic FOOT-UP Fußheberorthese Gr.1 schwarz 07810, 500 g",Dispose,,CUSTOMER_DAMAGED,SWITCHEROO,,B002KKG87W,EX-TEGV-CCB0,X001WP34PD,
,228,Standard,05/07/2024,25/09/2024,LPNRP021050375,Tielle,Damaged packaging,,"Sporlastic FOOT-UP Fußheberorthese Gr.1 schwarz 07810, 500 g",Dispose,,DEFECTIVE,NOT_COMPATIBLE,Zu klein.,B002KKG87W,EX-TEGV-CCB0,X001WP34PD,
,228,Standard,05/07/2024,25/09/2024,LPNHK177806469,Tielle,Damaged packaging,????????????,-,Dispose,,-,-,-,-,-,-,
,7,Temporary,05/07/2024,,LPNIC108789782,Globus,Missing components,,Globus - Paquete de batería para MD - PL - MG,Dispose,,DEFECTIVE,DEFECTIVE,"Se ha colocado la batería en su aparato compatible, está bien conectada, pero no enciende, esta batería no funciona. Puedo aportar vídeo.",B00M0MJ4XK,NA-WGB3-40PX,X0018QS7Z3,
,228,Standard,05/07/2024,25/09/2024,LPNHK254789865,Tellur,Damaged packaging,,"TELLUR Dash Patrol DC1-Autokamera, FullHD 1080P, G-Sensor erkennt Aufprall und startet die Aufnahme, Parküberwachungsfunktion, Schwarz",Dispose,,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,,B08T1W9MBQ,amzn.gr.PY-O4LL-M9T4-xnJBef57W2PHCKtH-LN,X001XS8G1V,
