asin	fnsku	product_name	fulfillment_center	country_code	longest_side	median_side	shortest_side	measurement_units	weight	weight_units	item_volume	volume_units	product_size_tier	average_quantity_on_hand	average_quantity_pending_removal	estimated_total_item_volume	month_of_charge	storage_utilization_ratio	storage_utilization_ratio_units	base_rate	utilization_surcharge_rate	avg_qty_for_sus	est_vol_for_sus	est_base_msf	est_sus	currency	estimated_monthly_storage_fee	category	eligible_for_inventory_discount	qualifies_for_inventory_discount	total_incentive_fee_amount	breakdown_incentive_fee_amount	average_quantity_customer_orders
B0BWTZ9B7L	X002067RX3	Silikonspatel für Küche und Teig 6 Stück – Küchenutensilien-Set hitzebeständig – Küchenutensilien kratzfest mit Stahlkern, LFGB von Easyavant zertifiziert (blau)	DUS4	DE	27.7	9.8	2.9	centimeters	0.38	kilograms	8.0E-4	cubic meters	Standard-Size	1.0	0.0	8.0E-4	2024-09	8.9	weeks	27.54	0.0	1.0	8.0E-4	0.02	0.0	EUR	0.02	Others	N	N	0.0	--	0.0
B003UTE2T8	X001KH6WCF	Renbow Crazy Color Semi-Permanent Hair Color Dye silver 027-100 ml, 1er pack (1 x 115 g)	FRA7	DE	13.6	4.0	4.0	centimeters	0.12	kilograms	2.0E-4	cubic meters	Standard-Size	0.13	0.0	0.0	2024-09	8.9	weeks	27.54	0.0	0.03	0.0	7.0E-4	0.0	EUR	7.0E-4	Others	N	N	0.0	--	0.0
B0BWTYXGP1	X001QB0MML	Silikonspatel für Küche und Teige, 6 Stück, hitzebeständig, bis zu 315 Grad – Küchenutensilien, kratzfest, mit Stahlkern zertifiziert LFGB von Easyavant (Rot)	FRA7	DE	27.0	9.5	3.0	centimeters	0.4	kilograms	8.0E-4	cubic meters	Standard-Size	1.0	0.0	8.0E-4	2024-09	8.9	weeks	27.54	0.0	1.0	8.0E-4	0.0193	0.0	EUR	0.0193	Others	N	N	0.0	--	0.0
B00RD83O5U	X001KF1BHX	Collistar Geschenkset für perfekte Augenbrauen Farbnummer 2 asiatisch-braun, 5 ml plus 0,5 ml	HAM2	DE	10.6	2.5	2.3	centimeters	0.02	kilograms	1.0E-4	cubic meters	Standard-Size	0.1	0.0	0.0	2024-09	8.9	weeks	27.54	0.0	0.0	0.0	0.0	0.0	EUR	0.0	Others	N	N	0.0	--	0.0
B003UTAIPU	X001KGU9LL	Renbow Crazy Color Semi-Permanent Hair Color Dye peacock blue 45-100 ml, 1er pack (1 x 115 g)	HAM2	DE	13.7	3.7	3.5	centimeters	0.12	kilograms	2.0E-4	cubic meters	Standard-Size	0.1	0.0	0.0	2024-09	8.9	weeks	27.54	0.0	0.03	0.0	0.0	0.0	EUR	0.0	Others	N	N	0.0	--	0.0
B002M3W182	X001KGU9WF	Renbow Crazy Color Semi-Permanent Hair Color Dye orange 60-100 ml, 1er pack (1 x 115 g)	HAM2	DE	13.7	3.7	3.5	centimeters	0.12	kilograms	2.0E-4	cubic meters	Standard-Size	0.3	0.0	0.0	2024-09	8.9	weeks	27.54	0.0	0.0	0.0	0.0	0.0	EUR	0.0	Others	N	N	0.0	--	0.27
B00P6AOVJA	X001OYT94H	Sergio Tacchini Club Eau de Toilette 100 ml, Spray für Herren	LCJ2	DE	13.0	10.6	6.0	centimeters	0.36	kilograms	8.0E-4	cubic meters	Standard-Size	1.0	0.0	8.0E-4	2024-09	--	--	30.0	0.0	0.0	0.0	0.0	0.0	EUR	0.02	Others	N	N	0.0	--	0.0
B004S0UY4U	X001KGRVQH	Crazy Color by Renbow 62 Hot Purple 100 ml	MUC3	DE	13.5	5.0	3.8	centimeters	0.12	kilograms	3.0E-4	cubic meters	Standard-Size	0.27	0.0	1.0E-4	2024-09	8.9	weeks	27.54	0.0	0.0	0.0	0.0016	0.0	EUR	0.0016	Others	N	N	0.0	--	0.03
B008JGL8LC	X001KGSP8Z	Renbow Crazy Color Semi-Permanent Hair Color Dye candy floss 65 - 100 ml, 1er pack (1 x 115 g)	MUC3	DE	21.2	15.8	3.6	centimeters	0.11	kilograms	0.0012	cubic meters	Standard-Size	0.2	0.0	2.0E-4	2024-09	8.9	weeks	27.54	0.0	0.03	0.0	0.0055	0.0	EUR	0.0055	Others	N	N	0.0	--	0.03
B00SLNIWIK	X001KGST7H	Crazy Color Renbow Semi-Permanent Hair Colour Cream Dye 100ml-Ruby Rouge	MUC3	DE	14.0	4.0	3.5	centimeters	0.12	kilograms	2.0E-4	cubic meters	Standard-Size	0.13	0.0	0.0	2024-09	8.9	weeks	27.54	0.0	0.0	0.0	7.0E-4	0.0	EUR	7.0E-4	Others	N	N	0.0	--	0.0
