asin	fnsku	product_name	fulfillment_center	country_code	longest_side	median_side	shortest_side	measurement_units	weight	weight_units	item_volume	volume_units	product_size_tier	average_quantity_on_hand	average_quantity_pending_removal	estimated_total_item_volume	month_of_charge	storage_utilization_ratio	storage_utilization_ratio_units	base_rate	utilization_surcharge_rate	avg_qty_for_sus	est_vol_for_sus	est_base_msf	est_sus	currency	estimated_monthly_storage_fee	category	eligible_for_inventory_discount	qualifies_for_inventory_discount	total_incentive_fee_amount	breakdown_incentive_fee_amount	average_quantity_customer_orders
B0C41Q25PJ	B0C41Q25PJ	Frutti di Bosco Disidratati Blue Berry Liofilizzati | XL 300g Mirtilli Selvatici Mirtilli Disidratati | Mirtilli Neri Disidratati Senza Zucchero Secchi | Freschi Polvere di Mirtillo Mulino Mirtillo	MXP5	IT	27.0	21.2	9.0	centimeters	0.32	kilograms	0.0052	cubic meters	Standard-Size	25.26	0.0	0.13	2024-10	9.2	weeks	42.37	0.0	6.23	0.0321	5.5061	0.0	EUR	5.5061	Others	N	N	0.0	--	0.03
B0C41RT33W	B0C41RT33W	Lamponi Disidratati | XL 350g Frutta Liofilizzata Lamponi Liofilizzati Senza Zucchero | Frutti di Bosco Disidratati Lamponi Secchi Frutta Disidratata | Fatti in Casa Polvere di Lamponi Frutti Rossi	MXP5	IT	31.7	30.0	12.7	centimeters	0.4	kilograms	0.0121	cubic meters	Standard-Size	9.13	0.0	0.1068	2024-10	9.2	weeks	42.37	0.0	3.48	0.0421	4.5231	0.0	EUR	4.5231	Others	N	N	0.0	--	0.29
B0C4BL1MZS	B0C4BL1MZS	Pezzi di Lamponi Liofilizzati Senza Zucchero | XL 300g Naturale Frutta Liofilizzata | Freeze Dried Fruit Raspberry Frutti di Bosco Disidratati | Frutti Rossi Disidratati | Lamponi Disidratati	MXP5	IT	28.7	22.5	10.2	centimeters	0.33	kilograms	0.0066	cubic meters	Standard-Size	1.19	0.0	0.0079	2024-10	9.2	weeks	42.37	0.0	1.06	0.007	0.3331	0.0	EUR	0.3331	Others	N	N	0.0	--	0.0
B0C9NPKR45	B0C9NPKR45	Polvere di Ribes Nero | Senza Zucchero Aggiunto | XL 300g Frutta Liofilizzata in Polvere | Frutta Disidratata Verdura in Polvere | Mescola Il Ribes Pet Blackcurrant Powder Ribs Liofilizzata | ZingyZoo	MXP5	IT	18.9	17.2	6.5	centimeters	0.32	kilograms	0.0021	cubic meters	Standard-Size	14.84	0.0	0.0313	2024-10	9.2	weeks	42.37	0.0	14.81	0.0313	1.3256	0.0	EUR	1.3256	Others	N	N	0.0	--	0.03
B0C9Q1BDMZ	B0C9Q1BDMZ	Polvere di Ribes Nero | Senza Zucchero Aggiunto | Frutta Liofilizzata in Polvere | Frutta Disidratata Verdura in Polvere | Mescola Il Ribes Pet Blackcurrant Powder Ribs Liofilizzata | ZingyZoo (100g)	MXP5	IT	19.3	12.3	1.7	centimeters	0.09	kilograms	4.0E-4	cubic meters	Standard-Size	57.13	0.0	0.0229	2024-10	9.2	weeks	42.37	0.0	25.94	0.0105	0.9708	0.0	EUR	0.9708	Others	N	N	0.0	--	0.35
B0CJLY3MV5	B0CJLY3MV5	Frutta Liofilizzata | XL 300g Fragola Lampone Amarena Miscela Tropicale | Frutti Rossi Disidratati | Frutta Disidratata | Frutti di Bosco Disidratati | Freeze Dried Fruit Red Mix ZingyZoo	MXP5	IT	31.7	24.0	9.8	centimeters	0.33	kilograms	0.0075	cubic meters	Standard-Size	10.1	0.0	0.0753	2024-10	9.2	weeks	42.37	0.0	10.1	0.0753	3.1896	0.0	EUR	3.1896	Others	N	N	0.0	--	0.0
B0CJMX5G1F	B0CJMX5G1F	Frutta Liofilizzata | XL 350g Banana Ananas Mango Miscela Tropicale | Frutta Disidratata | Frutti Disidratati Banana Mango Essiccato Ananas | Freeze Dried Fruit Tropical Mix ZingyZoo	MXP5	IT	28.8	22.8	9.0	centimeters	0.38	kilograms	0.0059	cubic meters	Standard-Size	28.0	0.0	0.1655	2024-10	9.2	weeks	42.37	0.0	28.0	0.1655	7.0111	0.0	EUR	7.0111	Others	N	N	0.0	--	0.0
B0CMXKQMRZ	B0CMXKQMRZ	ZINGY ZOO Limone Disidratato | 100% Naturale Frutta Disidratata Scorza Limone | Limone Essiccato Limone Succo | Frutti Disidratati Pura Frutta Secca | Dried Lemon Fruit Powder ZingyZoo (polvere fine)	MXP5	IT	19.5	12.2	1.9	centimeters	0.11	kilograms	5.0E-4	cubic meters	Standard-Size	69.81	0.0	0.0315	2024-10	9.2	weeks	42.37	0.0	36.13	0.0163	1.3351	0.0	EUR	1.3351	Others	N	N	0.0	--	0.1
B0CSWWD4N2	B0CSWWD4N2	Frutta Liofilizzata | XL 300g Fragola Lampone Amarena Mirtilli Selvatici Miscela | Frutti Rossi Disidratati | Frutta Disidratata | Frutti di Bosco Disidratati | Freeze Dried Fruit Super Mix ZingyZoo	MXP5	IT	30.0	22.2	11.6	centimeters	0.33	kilograms	0.0077	cubic meters	Standard-Size	1.0	0.0	0.0077	2024-10	9.2	weeks	42.37	0.0	1.0	0.0077	0.3273	0.0	EUR	0.3273	Others	N	N	0.0	--	0.0
B0CSWX3VBQ	B0CSWX3VBQ	Lamponi Liofilizzati Senza Zucchero | 100% Naturale Frutta Liofilizzata | Freeze Dried Fruit Raspberry Frutti di Bosco Disidratati | Frutti Rossi Disidratati | Lamponi Disidratati (100g)	MXP5	IT	28.1	16.5	8.3	centimeters	0.12	kilograms	0.0038	cubic meters	Standard-Size	1.0	0.0	0.0038	2024-10	9.2	weeks	42.37	0.0	0.84	0.0032	0.1631	0.0	EUR	0.1631	Others	N	N	0.0	--	0.0
