asin	fnsku	product_name	fulfillment_center	country_code	longest_side	median_side	shortest_side	measurement_units	weight	weight_units	item_volume	volume_units	product_size_tier	average_quantity_on_hand	average_quantity_pending_removal	estimated_total_item_volume	month_of_charge	storage_utilization_ratio	storage_utilization_ratio_units	base_rate	utilization_surcharge_rate	avg_qty_for_sus	est_vol_for_sus	est_base_msf	est_sus	currency	estimated_monthly_storage_fee	category	eligible_for_inventory_discount	qualifies_for_inventory_discount	total_incentive_fee_amount	breakdown_incentive_fee_amount	average_quantity_customer_orders
B0B2LQF334	X0025DRH3L	Oase CRYSTALSKIM 350	RMU1	ES	16.5	13.3	5.6	centimeters	0.4	kilograms	0.0012	cubic meters	Standard-Size	0.1	0.0	1.0E-4	2024-10	4.1	weeks	42.37	0.0	0.0	0.0	0.005	0.0	EUR	0.005	Others	N	N	0.0	--	0.0
B0CL29SKWL	X0025JC68V	Pfaff Bolso de Trasnporte Remalladora/Overlock	VLC1	ES	43.0	39.0	9.0	centimeters	2.0	kilograms	0.0151	cubic meters	Oversize	1.1	0.0	0.0166	2024-10	4.2	weeks	27.5	0.0	0.03	5.0E-4	0.4554	0.0	EUR	0.4554	Others	N	N	0.0	--	0.0
B07X658QCK	X0023F9D1Z	Crunch GPX2000.5-5-Kanal Verstärker | Endstufe	VLC1	ES	47.29	28.0	7.6	centimeters	4.25	kilograms	0.0101	cubic meters	Oversize	9.77	0.0	0.0984	2024-10	4.2	weeks	27.5	0.0	3.32	0.0334	2.7059	0.0	EUR	2.7059	Others	N	N	0.0	--	0.0
B00H99ZZFA	X001ZGRUGX	Alpine SWT-12S4 300W Negro - Subwoofer en Tubo Bass Reflex de 12“ (300 W, 28-200 Hz, 1000 W, 92 dB, 4 Ω, Negro)	VLC1	ES	73.0	39.5	39.5	centimeters	10.7	kilograms	0.1139	cubic meters	Oversize	1.35	0.0	0.1543	2024-10	4.2	weeks	27.5	0.0	0.06	0.0073	4.2443	0.0	EUR	4.2443	Others	N	N	0.0	--	0.0
B00C1NLBQG	X001Y7BE8D	Roca A801512004 Dama Senso - Asien Amorti, Blanco	VLC1	ES	51.99	38.38	6.2	centimeters	3.7	kilograms	0.0124	cubic meters	Oversize	1.23	0.0	0.014	2024-10	4.2	weeks	27.5	0.0	0.35	0.0044	0.3841	0.0	EUR	0.3841	Others	N	N	0.0	--	0.1
B0100YE862	X001NZ6QHF	RO+TEN - Busto semirrígida para mujer con tirantes y tirantes - M	VLC1	ES	48.1	25.4	8.6	centimeters	1.08	kilograms	0.0105	cubic meters	Oversize	10.0	0.0	0.1051	2024-10	4.2	weeks	27.5	0.0	10.0	0.1051	2.8905	0.0	EUR	2.8905	Others	N	N	0.0	--	0.0
B00ZMDKKOG	X001KEPNMD	Ro+Ten &ndash; Tracci&oacute;n cervical juego completo con bolsa de agua	VLC1	ES	49.0	15.0	9.0	centimeters	0.9	kilograms	0.0066	cubic meters	Oversize	0.58	0.0	0.0036	2024-10	4.2	weeks	27.5	0.0	0.35	0.0023	0.0998	0.0	EUR	0.0998	Others	N	N	0.0	--	0.03
B08X1B7MLJ	X0025U4TJJ	Enrollador eléctrico automático Singer	RMU1	ES	14.2	10.6	8.7	centimeters	0.27	kilograms	0.0013	cubic meters	Standard-Size	0.03	0.0	0.0	2024-10	4.1	weeks	42.37	0.0	0.03	0.0	0.0018	0.0	EUR	0.0018	Others	N	N	0.0	--	0.0
B001M4HS8U	X0025GJ0IN	Gymstick 300003E - Extensor de Pecho para Fitness (Holgado, Caucho, látex), Color Negro, Talla Strong	RMU1	ES	42.2	15.6	3.2	centimeters	0.18	kilograms	0.0021	cubic meters	Standard-Size	0.13	0.0	3.0E-4	2024-10	4.1	weeks	42.37	0.0	0.0	0.0	0.0115	0.0	EUR	0.0115	Others	N	N	0.0	--	0.0
B08BLXRY4M	X0025DV82R	Deante; Grifo de la cocina CHABER (BGC_080M); Color: cromo	RMU1	ES	32.8	16.2	8.6	centimeters	1.17	kilograms	0.0046	cubic meters	Standard-Size	0.45	0.0	0.0021	2024-10	4.1	weeks	42.37	0.0	0.0	0.0	0.0874	0.0	EUR	0.0874	Others	N	N	0.0	--	0.0
B0B823S1NR	X0023AHEGL	Audio-Technica AT2020USB-X Micrófono USB de condensador cardioide	RMU1	ES	24.8	24.7	9.3	centimeters	0.94	kilograms	0.0057	cubic meters	Standard-Size	0.19	0.0	9.0E-4	2024-10	4.1	weeks	42.37	0.0	0.06	4.0E-4	0.0389	0.0	EUR	0.0389	Others	N	N	0.0	--	0.03
B00JVI0SM2	X00259GCEZ	BellaBambi original Cupping-Set trio: sensitive, blanco, + regular, morado, + intense, azul noche, diámetro34 mm	RMU1	ES	15.75	8.89	6.34	centimeters	0.14	kilograms	9.0E-4	cubic meters	Standard-Size	0.32	0.0	3.0E-4	2024-10	4.1	weeks	42.37	0.0	0.0	0.0	0.0121	0.0	EUR	0.0121	Others	N	N	0.0	--	0.0
B081TCJS9X	X0024UMM6R	Eckerle EE600 Bomba de Condensados Ultra Compacta para Aire Acondicionados Hasta 7,5 KW Con Motor Suizo, Condensador Aire Acondicionado Con Sistema De Alarma Integrado, Caudal Máximo 6 L/H, 230V	RMU1	ES	20.0	19.0	6.0	centimeters	0.3	kilograms	0.0023	cubic meters	Standard-Size	1.29	0.0	0.0029	2024-10	4.1	weeks	42.37	0.0	0.06	1.0E-4	0.1246	0.0	EUR	0.1246	Others	N	N	0.0	--	0.0
B079T777W9	X00243Y4O7	Globus 8 electrodos para electroestimulador con conectores de enchufe, para electrodos Ecg, para electrodos tens, 1 paquete de 5 x 9 cm + 1 paquete de 5 x 5 Myotrode Premium, autoadhesivos	RMU1	ES	27.0	19.8	1.5	centimeters	0.06	kilograms	8.0E-4	cubic meters	Standard-Size	22.58	0.0	0.0181	2024-10	4.1	weeks	42.37	0.0	0.03	0.0	0.7672	0.0	EUR	0.7672	Others	N	N	0.0	--	0.0
B00BF6HWF4	X0023YYXQV	Rockford fosgate 0780687342470 - Altavoces r14x2	RMU1	ES	32.0	17.3	8.4	centimeters	1.41	kilograms	0.0047	cubic meters	Standard-Size	1.0	0.0	0.0047	2024-10	4.1	weeks	42.37	0.0	0.42	0.002	0.197	0.0	EUR	0.197	Others	N	N	0.0	--	0.0
B0C6G4B1Z4	X0023V7JFL	Hifonics TSA300R | Aktivsubwoofer 30cm mit Digital-Endstufe	RMU1	ES	49.2	44.6	43.0	centimeters	14.6	kilograms	0.0944	cubic meters	Oversize	0.1	0.0	0.0091	2024-10	4.2	weeks	27.5	0.0	0.1	0.0091	0.25	0.0	EUR	0.25	Others	N	N	0.0	--	0.0
B0C171KTZN	X0023F41GH	Andis TS-2 17255 Pro Foil - Afeitadora inalámbrica de aluminio de litio y titanio, sin cable, con cargador, color negro	RMU1	ES	27.2	13.3	9.1	centimeters	0.68	kilograms	0.0033	cubic meters	Standard-Size	0.03	0.0	1.0E-4	2024-10	4.1	weeks	42.37	0.0	0.0	0.0	0.0045	0.0	EUR	0.0045	Others	N	N	0.0	--	0.0
B01ENCGDRE	X0023F3Y0B	Andis HSM ProFoil gris	RMU1	ES	26.3	11.5	9.1	centimeters	0.57	kilograms	0.0028	cubic meters	Standard-Size	0.03	0.0	1.0E-4	2024-10	4.1	weeks	42.37	0.0	0.0	0.0	0.0038	0.0	EUR	0.0038	Others	N	N	0.0	--	0.0
